# Sesion:3 Fecha:2026-04-03 22:56:14 Shots:1 Duracion:16,62s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
3.2000,47856,0.208252,-0.168274,0.695801,-0.666504,81.7745,0
3.2100,47866,0.207886,-0.168152,0.696411,-0.665955,81.6497,0
3.2200,47876,0.207581,-0.168091,0.697144,-0.665283,81.5009,0
3.2300,47886,0.207214,-0.168030,0.697998,-0.664551,81.3482,0
3.2400,47896,0.206909,-0.168030,0.698669,-0.663940,81.2150,0
3.2500,47906,0.206726,-0.168091,0.699158,-0.663452,81.1170,0
3.2600,47916,0.206482,-0.168213,0.699524,-0.663147,81.0536,0
3.2700,47926,0.206299,-0.168335,0.699768,-0.662842,81.0088,0
3.2800,47936,0.205994,-0.168579,0.700134,-0.662598,80.9658,0
3.2900,47946,0.205627,-0.168762,0.700562,-0.662170,80.9054,0
3.3000,47956,0.205261,-0.168884,0.701111,-0.661621,80.8313,0
3.3100,47966,0.204956,-0.168884,0.701782,-0.661072,80.7562,0
3.3200,47976,0.204590,-0.168762,0.702393,-0.660522,80.6950,0
3.3300,47986,0.204346,-0.168518,0.702881,-0.660095,80.6766,0
3.3400,47996,0.204163,-0.168213,0.703308,-0.659851,80.6791,0
3.3500,48006,0.204041,-0.167786,0.703552,-0.659668,80.7071,0
3.3600,48016,0.203979,-0.167297,0.703674,-0.659729,80.7548,0
3.3700,48026,0.203979,-0.166626,0.703674,-0.659851,80.8114,0
3.3800,48036,0.204102,-0.165955,0.703613,-0.660095,80.8679,0
3.3900,48046,0.204346,-0.165161,0.703491,-0.660400,80.9202,0
3.4000,48056,0.204773,-0.163635,0.703186,-0.660889,80.9715,0
3.4100,48066,0.204956,-0.162964,0.703064,-0.661194,81.0160,0
3.4200,48076,0.204956,-0.162292,0.703003,-0.661438,81.0432,0
3.4300,48086,0.204895,-0.161682,0.703064,-0.661499,81.0410,0
3.4400,48096,0.204590,-0.161133,0.703308,-0.661438,81.0086,0
3.4500,48106,0.204102,-0.160583,0.703796,-0.661255,80.9536,0
3.4600,48116,0.203491,-0.159973,0.704285,-0.661072,80.8929,0
3.4700,48126,0.202881,-0.159241,0.704712,-0.660950,80.8482,0
3.4800,48136,0.202271,-0.158447,0.704956,-0.661072,80.8431,0
3.4900,48146,0.201599,-0.157532,0.704834,-0.661621,80.8935,0
3.5000,48156,0.200989,-0.156433,0.704407,-0.662537,81.0026,0
3.5100,48166,0.200439,-0.155273,0.703674,-0.663757,81.1561,0
3.5200,48176,0.199951,-0.154053,0.702759,-0.665161,81.3309,0
3.5300,48186,0.199463,-0.152771,0.701721,-0.666626,81.5089,0
3.5400,48196,0.198975,-0.151550,0.700806,-0.668091,81.6666,0
3.5500,48206,0.198486,-0.150452,0.699951,-0.669373,81.7950,0
3.5600,48216,0.197937,-0.149353,0.699280,-0.670471,81.8885,0
3.5700,48226,0.197388,-0.148376,0.698792,-0.671326,81.9453,0
