# Sesion:1 Fecha:2026-03-08 15:33:42 Shots:0 Duracion:17,91s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm
1,9530,26.0000,-47.5000,-125.3345,-662.4825,28.6479,674.8425,0.0200,0.0800,-0.0300,0.0877,7.2400,-0.6100,-6.6200,25,-16.6875,-26.1875,-0.1875,0,0,0,0
1,9740,26.0625,-47.1875,-146.8204,-637.4155,25.0669,654.5863,-0.0100,0.0400,-0.0100,0.0424,7.1800,-0.6400,-6.6300,25,-16.6875,-26.1875,-0.1875,0,0,0,0
1,9950,26.0625,-47.0625,3.5810,-662.4825,50.1338,664.3864,0.0300,0.0900,-0.0200,0.0970,7.2000,-0.6000,-6.6700,25,-16.5625,-27.0000,1.5000,0,0,0,0
2,0150,26.0000,-46.8750,-32.2289,-683.9684,46.5528,686.3079,0.0200,0.0600,-0.1300,0.1446,7.1600,-0.6200,-6.8100,25,-16.5625,-27.0000,1.5000,0,0,0,0
2,0350,25.9375,-46.6250,-78.7817,-569.3768,68.0387,578.8142,-0.0200,0.0000,-0.2200,0.2209,7.0900,-0.6800,-6.9200,25,-16.1875,-27.0000,2.3750,0,0,0,0
2,0560,25.9375,-46.4375,-107.4296,-494.1761,71.6197,510.7647,-0.0700,-0.0100,-0.1800,0.1934,7.0200,-0.7100,-6.9000,25,-16.1875,-27.0000,2.3750,0,0,0,0
2,0760,26.0000,-46.1875,-132.4965,-461.9472,32.2289,481.6527,-0.0200,0.0600,-0.1200,0.1356,7.0500,-0.6300,-6.8700,25,-16.1875,-27.0000,2.3750,0,0,0,0
2,0960,26.0625,-46.1250,-211.2782,-436.8803,-14.3239,485.4978,-0.0200,0.0300,-0.0600,0.0700,7.0300,-0.6500,-6.8300,25,-16.3750,-26.5000,1.2500,0,0,0,0
2,1170,26.1875,-45.8750,-107.4296,-476.2712,32.2289,489.2996,0.0300,0.1000,-0.1200,0.1591,7.0700,-0.5700,-6.9100,25,-16.3750,-26.5000,1.2500,0,0,0,0
2,1370,26.1875,-45.6875,-64.4578,-529.9860,25.0669,534.4794,-0.0300,0.0400,-0.0900,0.1030,6.9800,-0.6300,-6.9000,25,-15.8750,-27.7500,2.1875,0,0,0,0
2,1580,26.1875,-45.5625,-89.5247,-533.5670,39.3908,542.4573,-0.0600,0.0000,-0.1100,0.1253,6.9300,-0.6800,-6.9400,25,-15.8750,-27.7500,2.1875,0,0,0,0
2,1780,26.1875,-45.3750,-85.9437,-529.9860,78.7817,542.6583,-0.0100,-0.0100,-0.1800,0.1806,6.9600,-0.6900,-7.0400,25,-15.8750,-27.7500,2.1875,0,0,0,0
2,1950,26.2500,-45.2500,-136.0775,-447.6233,42.9718,469.8194,-0.0300,0.0200,-0.1500,0.1543,6.9200,-0.6400,-7.0200,25,-16.7500,-25.8750,2.6875,0,0,0,0
2,2190,26.3125,-45.0625,-118.1725,-454.7853,-7.1620,469.9422,-0.0400,-0.0100,0.0000,0.0412,6.8900,-0.6800,-6.8900,25,-16.7500,-25.8750,2.6875,0,0,0,0
2,2360,26.3750,-44.8750,-114.5916,-508.5001,-50.1338,523.6573,0.0000,0.0300,-0.0500,0.0583,6.9100,-0.6200,-6.9600,25,-15.6875,-26.5000,2.6875,0,0,0,0
2,2570,37.3125,-44.6875,-35.8099,-497.7571,21.4859,499.5059,0.0300,0.0600,-0.1100,0.1288,6.9300,-0.5900,-7.0500,25,-15.6875,-26.5000,2.6875,0,0,0,0
2,2770,37.3125,-44.5625,-125.3345,-429.7184,-7.1620,447.6806,0.0100,0.0500,-0.1600,0.1679,6.9000,-0.6000,-7.1200,25,-15.6875,-26.5000,2.6875,0,0,0,0
2,2970,37.3125,-44.4375,-146.8204,-401.0705,-3.5810,427.1143,0.0100,0.0200,-0.1500,0.1517,6.8800,-0.6200,-7.1200,25,-15.6875,-27.2500,3.5625,0,0,0,0
2,3180,37.3750,-44.3125,-168.3063,-404.6515,28.6479,439.1931,0.0400,0.0800,-0.0700,0.1136,6.8900,-0.5600,-7.0500,25,-15.6875,-27.2500,3.5625,0,0,0,0
2,3380,37.3750,-44.1250,-125.3345,-390.3275,14.3239,410.2066,-0.0300,-0.0100,-0.1600,0.1631,6.7900,-0.6500,-7.1700,25,-16.2500,-26.7500,3.0000,0,0,0,0
2,3590,37.3750,-44.0000,-93.1056,-393.9085,14.3239,405.0157,-0.0300,-0.0300,0.0000,0.0424,6.7800,-0.6600,-7.0100,25,-16.2500,-26.7500,3.0000,0,0,0,0
2,3790,37.3750,-43.8750,-82.3627,-461.9472,21.4859,469.7239,-0.0300,0.0100,0.0800,0.0860,6.7600,-0.6100,-6.9500,25,-16.2500,-26.7500,3.0000,0,0,0,0
2,4000,37.3750,-43.6875,-21.4859,-594.4437,28.6479,595.5214,0.0000,-0.0100,0.0100,0.0141,6.7700,-0.6400,-7.0400,25,-14.5000,-26.0625,3.7500,0,0,0,0
2,4200,37.3750,-43.4375,-89.5247,-637.4155,0.0000,643.6717,0.0400,0.0600,-0.0900,0.1153,6.7900,-0.5600,-7.1800,25,-14.5000,-26.0625,3.7500,0,0,0,0
2,4370,37.3750,-43.2500,-153.9824,-633.8346,-21.4859,652.6243,0.0500,0.0600,-0.1000,0.1269,6.7700,-0.5500,-7.2200,25,-15.0000,-27.1875,4.0000,0,0,0,0
2,4610,37.4375,-43.0625,-132.4965,-547.8909,-21.4859,564.0934,0.0000,-0.0600,-0.3100,0.3158,6.6900,-0.6800,-7.4500,25,-15.0000,-27.1875,4.0000,0,0,0,0
2,4780,37.4375,-42.8750,-46.5528,-483.4331,35.8099,486.9878,-0.0600,-0.0700,-0.1500,0.1761,6.6100,-0.6900,-7.3000,25,-15.0000,-27.1875,4.0000,0,0,0,0
2,4980,37.4375,-42.6875,-32.2289,-515.6621,42.9718,518.4522,0.0400,0.0900,-0.1000,0.1404,6.7000,-0.5100,-7.2800,25,-16.0625,-26.2500,4.5625,0,0,0,0
2,5190,37.4375,-42.5625,-121.7535,-454.7853,39.3908,472.4460,0.0800,0.1100,-0.1600,0.2100,6.7200,-0.4900,-7.3500,25,-16.0625,-26.2500,4.5625,0,0,0,0
2,5390,37.5000,-42.4375,-257.8310,-368.8416,10.7430,450.1515,-0.0100,-0.0100,0.0700,0.0714,6.6000,-0.6200,-7.1300,25,-14.7500,-26.2500,3.7500,0,0,0,0
2,5600,37.5000,-42.2500,-218.4402,-444.0423,-7.1620,494.9151,0.0200,0.0000,-0.0400,0.0447,6.6200,-0.5800,-7.2700,25,-14.7500,-26.2500,3.7500,0,0,0,0
2,5800,37.5000,-42.1250,-157.5634,-515.6621,28.6479,539.9577,-0.0100,-0.0400,-0.0500,0.0648,6.5600,-0.6200,-7.3000,25,-14.7500,-26.2500,3.7500,0,0,0,0
2,6010,37.5625,-41.9375,-93.1056,-537.1480,64.4578,548.9548,0.0100,-0.0500,-0.1700,0.1775,6.5600,-0.6400,-7.4400,25,-15.7500,-26.6875,3.5625,0,0,0,0
