# Sesion:2 Fecha:2026-03-08 15:36:43 Shots:0 Duracion:19,80s
tSeg,yaw,roll,gx,gy,gz,gmag,lax,lay,laz,lamag,ax,ay,az,temp,mx,my,mz,cs,cg,ca,cm
1.9580,58.9375,-56.4375,-164.7254,-626.6726,-164.7254,668.5712,-0.0900,0.1400,-0.1100,0.1995,8.0800,-0.3100,-5.5000,25,-19.5000,13.5625,35.5000,3,3,1,2
1.9790,59.1250,-56.2500,-232.7641,-619.5106,-75.2007,666.0538,-0.0500,0.2000,-0.1800,0.2737,8.1000,-0.2500,-5.6100,25,-19.5000,13.5625,35.5000,3,3,1,2
1.9960,59.3125,-56.0000,-236.3451,-605.1867,17.9049,649.9465,-0.0100,0.2900,-0.2000,0.3524,8.1100,-0.1400,-5.6500,25,-19.5000,13.5625,35.5000,3,3,1,2
2.0160,59.1250,-55.8750,-214.8592,-612.3486,25.0669,649.4334,-0.1600,0.1300,-0.3300,0.3891,7.9500,-0.2900,-5.8200,25,-18.7500,12.8750,35.5000,3,3,1,2
2.0400,59.3125,-55.5625,-71.6197,-658.9015,32.2289,663.5656,-0.2300,0.1500,-0.4200,0.5018,7.8500,-0.2600,-5.9500,25,-18.7500,12.8750,35.5000,3,3,1,2
2.0570,59.0000,-55.3125,53.7148,-705.4543,-71.6197,711.1121,-0.3900,0.1500,-0.5800,0.7148,7.6700,-0.2600,-6.1500,25,-19.1875,12.8750,35.5000,3,3,1,2
2.0770,58.9375,-55.0625,100.2676,-673.2254,-211.2782,712.6882,-0.2500,0.2300,-0.4200,0.5402,7.7900,-0.1700,-6.0200,25,-19.1875,12.8750,35.5000,3,3,1,2
2.0980,59.0000,-54.7500,139.6585,-701.8733,-272.1550,765.6363,-0.1300,0.2400,-0.4400,0.5178,7.8700,-0.1500,-6.0800,25,-19.1875,12.8750,35.5000,3,3,1,2
2.1180,58.7500,-54.6250,-82.3627,-662.4825,-347.3557,752.5441,-0.0500,0.2500,-0.3900,0.4659,7.9200,-0.1100,-6.0800,25,-19.5000,13.1875,36.2500,3,3,1,2
2.1380,59.1250,-54.1875,-103.8486,-662.4825,-325.8698,745.5593,0.0000,0.2200,-0.2900,0.3640,7.9500,-0.1200,-6.0100,25,-19.5000,13.1875,36.2500,3,3,1,2
2.1590,58.8750,-53.9375,89.5247,-651.7395,-175.4683,680.8584,-0.0100,0.1300,-0.3000,0.3271,7.9200,-0.1900,-6.0600,25,-19.1875,12.8750,35.5000,3,3,1,2
2.1790,58.8125,-53.7500,189.7923,-637.4155,-136.0775,678.8496,-0.0900,0.0800,-0.1400,0.1847,7.8100,-0.2500,-5.9300,25,-19.1875,12.8750,35.5000,3,3,1,2
2.1960,58.8125,-53.5000,82.3627,-605.1867,-153.9824,629.8771,-0.0800,0.0900,0.0500,0.1304,7.8000,-0.2300,-5.7600,25,-19.1875,12.8750,35.5000,3,3,1,2
2.2160,58.3125,-53.4375,-17.9049,-680.3874,-232.7641,719.3238,-0.2500,-0.0400,-0.1200,0.2802,7.6100,-0.3600,-5.9700,25,-19.5000,13.5625,35.5000,2,3,1,2
2.2370,58.5000,-53.0625,-146.8204,-633.8346,-329.4508,729.2738,-0.2600,-0.0600,0.0500,0.2715,7.5800,-0.3600,-5.8200,25,-19.5000,13.5625,35.5000,2,3,1,2
2.2570,58.4375,-52.8750,-272.1550,-666.0634,-322.2888,788.4027,-0.0700,0.0600,0.0200,0.0943,7.7400,-0.2100,-5.8800,25,-18.3750,12.8750,36.1875,2,3,1,2
2.2780,58.6875,-52.6250,-193.3733,-705.4543,-297.2219,789.5567,-0.0200,0.0300,-0.0800,0.0877,7.7600,-0.2200,-6.0200,25,-18.3750,12.8750,36.1875,2,3,1,2
2.2980,58.8750,-52.3750,-100.2676,-719.7783,-261.4120,772.3151,0.0100,0.0200,-0.3100,0.3108,7.7800,-0.2100,-6.2800,25,-18.3750,12.8750,36.1875,2,3,1,2
2.3190,58.5625,-52.2500,-57.2958,-623.0916,-218.4402,662.7534,0.0200,0.1000,-0.2500,0.2700,7.7700,-0.1200,-6.2600,25,-18.3750,12.8750,35.7500,2,3,1,2
2.3390,58.7500,-52.0000,-121.7535,-555.0529,-193.3733,600.2507,-0.1300,0.0200,-0.0900,0.1594,7.5900,-0.1900,-6.1200,25,-18.3750,12.8750,35.7500,2,3,1,2
2.3600,58.6250,-51.7500,-139.6585,-583.7008,-186.2113,628.3994,-0.0800,0.1800,0.2500,0.3183,7.6100,-0.0100,-5.8000,25,-18.0000,12.8750,37.0000,2,3,1,2
2.3800,58.8750,-51.5625,-186.2113,-655.3205,-225.6021,717.6461,-0.0400,0.2300,-0.1000,0.2540,7.6300,0.0600,-6.1900,25,-18.0000,12.8750,37.0000,2,3,1,2
2.4000,59.1250,-51.3125,-211.2782,-701.8733,-264.9930,779.4138,-0.0300,0.2500,-0.2700,0.3692,7.6100,0.0900,-6.3900,25,-18.0000,12.8750,37.0000,2,3,1,2
2.4210,58.9375,-51.1250,-261.4120,-666.0634,-261.4120,761.7827,-0.0100,0.1600,-0.4700,0.4966,7.6100,0.0300,-6.6200,25,-18.3750,13.5625,36.5625,2,3,1,2
2.4420,59.1250,-50.8750,-128.9155,-580.1198,-200.5352,627.1942,0.1100,0.2800,-0.6000,0.6712,7.7200,0.1600,-6.7800,25,-18.3750,13.5625,36.5625,2,3,1,2
2.4620,58.9375,-50.6875,-100.2676,-544.3099,-114.5916,565.2062,0.0900,0.3800,-0.5300,0.6583,7.6900,0.2700,-6.7400,25,-17.2500,12.5000,36.1875,2,3,1,2
2.4830,59.0625,-50.5000,-128.9155,-565.7958,-125.3345,593.6774,-0.1400,0.3300,-0.6400,0.7336,7.4200,0.2300,-6.8700,25,-17.2500,12.5000,36.1875,2,3,1,2
2.5030,59.1250,-50.3125,-39.3908,-537.1480,-53.7148,541.2623,-0.2100,0.2400,-0.5100,0.6015,7.3300,0.1400,-6.7700,25,-17.2500,12.5000,36.1875,2,3,1,2
2.5230,58.8125,-50.1875,3.5810,-522.8240,-93.1056,531.0616,-0.2000,0.1400,-0.5400,0.5926,7.3300,0.0500,-6.8100,25,-18.3750,12.8750,37.7500,2,3,1,2
2.5440,58.9375,-49.9375,-7.1620,-436.8803,-139.6585,458.7158,-0.0300,0.2100,-0.4700,0.5157,7.4700,0.1300,-6.7700,25,-18.3750,12.8750,37.7500,2,3,1,2
2.5650,58.8750,-49.7500,10.7430,-415.3944,-157.5634,444.4031,-0.0600,0.1400,-0.4200,0.4468,7.4200,0.0700,-6.7500,25,-17.2500,11.6875,37.0000,2,3,1,2
2.5850,58.8750,-49.5625,161.1444,-383.1655,-96.6866,426.7689,0.0000,0.2200,-0.4400,0.4919,7.4600,0.1600,-6.7900,25,-17.2500,11.6875,37.0000,2,3,1,2
2.6050,58.8125,-49.4375,171.8873,-336.6127,-35.8099,379.6521,-0.0100,0.1800,-0.2500,0.3082,7.4300,0.1200,-6.6300,25,-16.5000,12.5000,37.0000,2,3,1,2
2.6220,58.5625,-49.3125,57.2958,-343.7747,-85.9437,358.9570,-0.1100,0.1300,-0.2400,0.2943,7.3100,0.0700,-6.6400,25,-16.5000,12.5000,37.0000,2,3,1,2
2.6460,58.6250,-49.1250,7.1620,-347.3557,-193.3733,397.6185,-0.1200,0.0600,-0.2000,0.2408,7.3000,0.0100,-6.4500,25,-16.5000,12.5000,37.0000,2,3,1,2
2.6630,58.1875,-49.0000,32.2289,-383.1655,-164.7254,418.3168,-0.0800,0.0400,-0.0100,0.0900,7.3200,0.0000,-6.4300,25,-17.2500,13.1875,35.3750,2,3,1,2
2.6840,58.1875,-48.8125,121.7535,-504.9191,-132.4965,536.0247,0.0000,0.1400,-0.3100,0.3401,7.4200,0.1500,-6.7300,25,-17.2500,13.1875,35.3750,2,3,1,2
