# Sesion:19 Fecha:2026-04-06 20:25:09 Shots:1 Duracion:9,59s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot,shotLevel
2.6700,1135067,0.743530,-0.660645,0.084290,-0.059937,82.3315,0,0
2.6800,1135077,0.743652,-0.660522,0.084229,-0.059814,82.3515,0,0
2.6900,1135087,0.743713,-0.660461,0.084167,-0.059692,82.3616,0,0
2.7000,1135097,0.743774,-0.660461,0.084167,-0.059570,82.3563,0,0
2.7100,1135107,0.743713,-0.660522,0.084106,-0.059509,82.3465,0,0
2.7200,1135117,0.743652,-0.660583,0.084106,-0.059387,82.3379,0,0
2.7300,1135127,0.743591,-0.660645,0.084106,-0.059326,82.3344,0,0
2.7400,1135137,0.743652,-0.660645,0.084045,-0.059204,82.3321,0,0
2.7500,1135147,0.743652,-0.660645,0.084045,-0.059082,82.3365,0,0
2.7600,1135157,0.743652,-0.660645,0.083984,-0.058960,82.3489,0,0
2.7700,1135167,0.743835,-0.660461,0.083923,-0.058716,82.3614,0,0
2.7800,1135177,0.743896,-0.660400,0.083923,-0.058594,82.3666,0,0
2.7900,1135187,0.743896,-0.660400,0.083984,-0.058594,82.3610,0,0
2.8000,1135197,0.743835,-0.660461,0.084045,-0.058472,82.3437,0,0
2.8100,1135207,0.743713,-0.660645,0.084106,-0.058411,82.3220,0,0
2.8200,1135217,0.743652,-0.660706,0.084106,-0.058350,82.3041,0,0
2.8300,1135227,0.743652,-0.660706,0.084045,-0.058289,82.3045,0,0
2.8400,1135237,0.743713,-0.660645,0.083984,-0.058228,82.3180,0,0
2.8500,1135247,0.743835,-0.660522,0.083923,-0.058228,82.3391,0,0
2.8600,1135257,0.743958,-0.660339,0.083862,-0.058228,82.3597,0,0
2.8700,1135267,0.744080,-0.660278,0.083862,-0.058228,82.3722,0,0
2.8800,1135277,0.744080,-0.660278,0.083862,-0.058228,82.3740,0,0
2.8900,1135287,0.744080,-0.660217,0.083923,-0.058167,82.3678,0,0
2.9000,1135297,0.744080,-0.660217,0.083923,-0.058167,82.3649,0,0
2.9100,1135307,0.744141,-0.660217,0.083923,-0.058167,82.3668,0,0
2.9200,1135317,0.744141,-0.660217,0.083923,-0.058167,82.3663,0,0
2.9300,1135327,0.744141,-0.660217,0.083923,-0.058167,82.3629,0,0
2.9400,1135337,0.744141,-0.660217,0.083923,-0.058167,82.3519,0,0
2.9500,1135347,0.744080,-0.660278,0.083923,-0.058167,82.3373,0,0
2.9600,1135357,0.744019,-0.660339,0.083923,-0.058105,82.3193,0,0
2.9700,1135367,0.743896,-0.660400,0.083984,-0.058044,82.3034,0,0
2.9800,1135377,0.743958,-0.660400,0.083984,-0.057983,82.3037,0,0
2.9900,1135387,0.743958,-0.660400,0.084045,-0.057861,82.3081,0,0
3.0000,1135397,0.744019,-0.660339,0.084045,-0.057739,82.3129,0,0
3.0100,1135407,0.744080,-0.660339,0.083984,-0.057617,82.3068,0,0
3.0200,1135417,0.744080,-0.660278,0.083984,-0.057495,82.2884,0,0
3.0300,1135427,0.744019,-0.660400,0.084045,-0.057495,82.2673,0,0
3.0400,1135437,0.743896,-0.660461,0.084106,-0.057434,82.2538,0,0
3.0500,1135447,0.743835,-0.660522,0.084167,-0.057373,82.2523,0,0
3.0600,1135457,0.743896,-0.660461,0.084167,-0.057373,82.2603,0,0
3.0700,1135467,0.744019,-0.660400,0.084106,-0.057373,82.2703,0,0
3.0800,1135477,0.744019,-0.660339,0.084106,-0.057373,82.2721,0,0
3.0900,1135487,0.744019,-0.660339,0.084106,-0.057373,82.2643,0,0
3.1000,1135497,0.743958,-0.660400,0.084167,-0.057434,82.2528,0,0
3.1100,1135507,0.743896,-0.660461,0.084167,-0.057556,82.2388,0,0
3.1200,1135517,0.743835,-0.660522,0.084106,-0.057617,82.2317,0,0
3.1300,1135527,0.743835,-0.660522,0.084045,-0.057678,82.2332,0,0
3.1400,1135537,0.743835,-0.660522,0.083984,-0.057739,82.2376,0,0
3.1500,1135547,0.743835,-0.660522,0.083984,-0.057739,82.2435,0,0
3.1600,1135557,0.743896,-0.660461,0.083984,-0.057800,82.2569,0,0
3.1700,1135567,0.744019,-0.660339,0.083923,-0.057800,82.2762,0,0
3.1800,1135577,0.744141,-0.660156,0.083923,-0.057861,82.2968,0,0
3.1900,1135587,0.744263,-0.660095,0.083862,-0.057861,82.3081,0,0
3.2000,1135597,0.744202,-0.660095,0.083923,-0.057922,82.3076,0,0
3.2100,1135607,0.744202,-0.660156,0.083923,-0.058044,82.2982,0,0
3.2200,1135617,0.744141,-0.660217,0.083923,-0.058167,82.2912,0,0
3.2300,1135627,0.744080,-0.660217,0.083923,-0.058350,82.2863,0,0
3.2400,1135637,0.744080,-0.660217,0.083862,-0.058533,82.2918,0,0
