# Sesion:3 Fecha:2026-04-05 21:12:05 Shots:1 Duracion:11,71s
tSeg,ms,qw,qx,qy,qz,filteredElev,shot
2.3000,1235156,0.426270,-0.395813,-0.578735,0.571594,87.5256,0
2.3100,1235166,0.426025,-0.396057,-0.578796,0.571533,87.4797,0
2.3200,1235176,0.425720,-0.396362,-0.578857,0.571472,87.4463,0
2.3300,1235186,0.425476,-0.396606,-0.578918,0.571472,87.4227,0
2.3400,1235196,0.425293,-0.396790,-0.578857,0.571472,87.4091,0
2.3500,1235206,0.425110,-0.396912,-0.578796,0.571594,87.3937,0
2.3600,1235216,0.424927,-0.396973,-0.578735,0.571716,87.3726,0
2.3700,1235226,0.424805,-0.397095,-0.578735,0.571777,87.3501,0
2.3800,1235236,0.424683,-0.397217,-0.578735,0.571777,87.3274,0
2.3900,1235246,0.424500,-0.397400,-0.578735,0.571838,87.3088,0
2.4000,1235256,0.424377,-0.397522,-0.578674,0.571838,87.2929,0
2.4100,1235266,0.424316,-0.397644,-0.578674,0.571838,87.2731,0
2.4200,1235276,0.424255,-0.397827,-0.578613,0.571777,87.2519,0
2.4300,1235286,0.424194,-0.398071,-0.578552,0.571716,87.2280,0
2.4400,1235296,0.424133,-0.398254,-0.578491,0.571716,87.2107,0
2.4500,1235306,0.424133,-0.398376,-0.578369,0.571777,87.2013,0
2.4600,1235316,0.424072,-0.398438,-0.578247,0.571899,87.2000,0
2.4700,1235326,0.424072,-0.398438,-0.578125,0.572021,87.2094,0
2.4800,1235336,0.424133,-0.398376,-0.578003,0.572144,87.2196,0
2.4900,1235346,0.424133,-0.398315,-0.577942,0.572205,87.2186,0
2.5000,1235356,0.424133,-0.398376,-0.577881,0.572266,87.1998,0
2.5100,1235366,0.424011,-0.398560,-0.577942,0.572144,87.1641,0
2.5200,1235376,0.423828,-0.398804,-0.578003,0.572083,87.1247,0
2.5300,1235386,0.423645,-0.398987,-0.577942,0.572083,87.1027,0
2.5400,1235396,0.423584,-0.398987,-0.577820,0.572266,87.1024,0
2.5500,1235406,0.423645,-0.398987,-0.577576,0.572449,87.1194,0
